CaseId,Authorization,phone,qq,contact_preference,problem,model,code,success,error_message
5.2.1,client,13586481447,12345,qq,大新闻,a1,200,TRUE,
5.2.2,client,13586481447,12345,wechat,大新闻,a2,200,TRUE,
5.2.3,client,13586481447,12345,phone,大新闻,a3,200,TRUE,
5.2.4,INVALID,13586481447,12345,phone,大新闻,a4,422,,Token_Invalid
5.2.5,EXPIRED,13586481447,12345,phone,大新闻,a5,422,,Token_Invalid
5.2.6,member,13586481447,12345,phone,大新闻,a6,422,,Token_Invalid
5.2.7,NONE,13586481447,12345,phone,大新闻,a7,422,,Token_Invalid
5.2.8,client,1234567890,12345,phone,大新闻,a8,422,,Validation_Failed
5.2.9,client,123456789011,12345,phone,大新闻,a9,422,,Validation_Failed
5.2.10,client,AAAAAAAAAAA,12345,phone,大新闻,a10,422,,Validation_Failed
5.2.11,client,13586481447,1.23E+21,phone,大新闻,a11,422,,Validation_Failed
5.2.12,client,13586481447,AAAA,phone,大新闻,a12,422,,Validation_Failed
5.2.13,client,13586481447,12345,123,大新闻,a13,422,,Validation_Failed
